Method,Task,ACC,REC,PR,F1,MCC
T1SEstacker,T1SE,0.929,0.808,0.667,0.727,0.691
DeepSecE,T1SE,0.982,0.9,1,0.947,0.942
MoCETSE,T1SE,0.982,0.9,1,0.947,0.942
DeepSecE,T2SE,0.931,0.9,0.474,0.621,0.628
MoCETSE,T2SE,0.944,0.9,0.529,0.667,0.665
Bastion3,T3SE,0.959,0.954,0.962,0.958,0.917
T3SEpp,T3SE,0.921,0.888,0.95,0.919,0.844
EP3,T3SE,0.922,0.991,0.852,0.916,0.851
BastionX,T3SE,0.945,0.991,0.922,0.956,0.903
DeepSecE,T3SE,0.903,0.926,0.885,0.905,0.79
MoCETSE,T3SE,0.917,0.889,0.95,0.918,0.835
Bastion4,T4SE,0.95,0.967,0.784,0.865,0.842
CNN-T4SE,T4SE,0.989,0.967,0.967,0.966,0.96
T4SEfinder,T4SE,0.967,0.933,0.875,0.903,0.884
T4SEpp,T4SE,0.988,0.9,1,0.947,0.942
BastionX,T4SE,0.933,1,0.882,0.938,0.874
DeepSecE,T4SE,0.978,0.967,0.906,0.935,0.911
MoCETSE,T4SE,0.983,0.933,0.966,0.949,0.939
Bastion6,T6SE,0.943,1,0.898,0.946,0.892
BastionX,T6SE,0.855,0.95,0.785,0.858,0.845
DeepSecE,T6SE,0.968,0.95,0.984,0.967,0.936
MoCETSE,T6SE,0.986,0.95,0.905,0.927,0.92
